customer_id,months_active,logins_per_month,support_tickets,plan,ltv,is_churned,nps_score
F0035,10.0,154.0,0.0,Enterprise,22514.25,0,9
F0036,23.0,129.0,0.0,Enterprise,26853.75,0,10
F0037,2.0,0.0,12.0,Starter,1298.21,0,5
F0038,2.0,21.0,4.0,Starter,1889.12,1,3
F0039,5.0,67.0,0.0,Professional,6671.46,0,9
F0040,,46.0,4.0,Professional,5121.0,0,4
F0041,1.0,31.0,8.0,Starter,507.9,1,2
F0042,6.0,39.0,1.0,Professional,4430.68,0,4
F0043,1.0,13.0,6.0,Starter,1417.43,0,5
F0044,35.0,143.0,0.0,Enterprise,30624.98,0,7
F0045,1.0,15.0,6.0,Starter,1923.5,0,3
F0046,9.0,20.0,5.0,Professional,5435.44,1,2
F0047,1.0,16.0,6.0,Starter,1101.15,0,4
F0048,25.0,44.0,5.0,Professional,1615.0,0,2
F0049,1.0,76.0,4.0,Professional,1968.64,0,4
F0050,2.0,16.0,6.0,Starter,396.6,1,6
F0051,31.0,122.0,1.0,Enterprise,9478.52,0,9
F0052,,28.0,6.0,Professional,4105.61,0,6
F0053,7.0,113.0,1.0,Enterprise,17095.72,0,8
F0054,17.0,149.0,0.0,Enterprise,25208.56,0,7
F0055,5.0,35.0,6.0,Professional,4981.82,1,4
F0056,43.0,119.0,0.0,Enterprise,24091.21,0,8
F0057,3.0,5.0,9.0,Starter,996.76,1,1
F0058,1.0,3.0,4.0,Starter,,1,4
F0059,1.0,14.0,5.0,Starter,1910.37,1,4
F0060,1.0,16.0,7.0,Starter,264.18,1,0
F0061,1.0,104.0,4.0,Professional,7602.79,0,9
F0062,2.0,,8.0,Starter,691.35,0,5
F0063,26.0,118.0,3.0,Enterprise,21841.86,0,9
F0064,14.0,23.0,6.0,Professional,2207.48,0,5
F0065,4.0,21.0,5.0,Starter,234.77,1,3
F0066,4.0,64.0,2.0,Professional,4292.05,0,7
F0067,1.0,29.0,11.0,Starter,1509.23,1,4
F0068,12.0,153.0,0.0,Enterprise,15272.85,0,0
F0069,13.0,18.0,4.0,Starter,1168.46,1,0
F0070,9.0,105.0,1.0,Enterprise,15523.56,0,7
F0071,2.0,60.0,4.0,Professional,4025.98,0,7
F0072,6.0,13.0,10.0,Starter,1822.25,1,1
F0073,4.0,24.0,6.0,Starter,1726.1,0,5
F0074,11.0,,0.0,Enterprise,21932.47,0,7
F0075,1.0,47.0,2.0,Professional,3047.69,0,7
F0076,1.0,18.0,3.0,Professional,2755.7,1,4
F0077,5.0,,,Professional,7701.57,0,6
F0078,1.0,20.0,5.0,Starter,485.16,0,5
F0079,13.0,47.0,3.0,Professional,6753.09,1,6
F0080,12.0,20.0,8.0,Starter,801.04,1,1
F0081,39.0,122.0,0.0,Enterprise,34612.82,0,7
F0082,5.0,87.0,2.0,Professional,3893.01,0,4
F0083,6.0,0.0,6.0,Starter,767.88,0,1
F0084,1.0,11.0,3.0,Starter,1311.18,1,6
F0085,4.0,,8.0,Starter,1926.88,0,4
F0086,4.0,20.0,2.0,Starter,1954.8,0,1
F0087,10.0,99.0,3.0,Professional,6096.84,0,8
F0088,2.0,24.0,2.0,Professional,6404.94,0,4
F0089,31.0,152.0,0.0,Enterprise,23211.86,0,8
F0090,2.0,80.0,3.0,Professional,,0,4
F0091,10.0,0.0,8.0,Starter,1733.58,1,1
F0092,13.0,47.0,4.0,Professional,4659.62,0,3
F0093,1.0,52.0,3.0,Professional,5529.1,0,5
F0094,2.0,14.0,1.0,Professional,4992.56,0,7
F0095,2.0,48.0,4.0,Professional,5156.06,0,6
F0096,3.0,76.0,2.0,Professional,7285.31,0,6
F0097,2.0,45.0,3.0,Professional,3811.51,0,1
F0098,1.0,61.0,5.0,Professional,2853.2,0,8
F0099,3.0,17.0,3.0,Starter,966.93,0,4
F0100,6.0,14.0,4.0,Starter,495.36,1,3
F0101,4.0,7.0,11.0,Starter,1046.96,1,0
F0102,11.0,71.0,6.0,Professional,7372.8,1,8
F0103,1.0,0.0,7.0,Starter,1273.12,1,6
F0104,30.0,55.0,2.0,Professional,7060.31,0,5
F0105,23.0,161.0,2.0,Enterprise,12487.15,0,7
F0106,8.0,10.0,1.0,Starter,1811.66,0,5
F0107,26.0,36.0,5.0,Professional,5411.62,0,3
F0108,7.0,73.0,2.0,Professional,,0,9
F0109,1.0,16.0,8.0,Starter,1302.93,1,4
F0110,4.0,22.0,3.0,Starter,1907.65,0,1
F0111,6.0,15.0,9.0,Starter,250.42,0,1
F0112,6.0,0.0,4.0,Starter,1206.67,1,1
F0113,19.0,155.0,1.0,Enterprise,32717.92,0,8
F0114,11.0,182.0,2.0,Enterprise,8261.77,0,8
F0115,4.0,87.0,6.0,Professional,5600.93,1,3
F0116,6.0,13.0,1.0,Enterprise,20822.36,0,8
F0117,23.0,133.0,,Enterprise,17368.71,0,7
F0118,3.0,10.0,5.0,Starter,1292.32,1,5
F0119,47.0,87.0,1.0,Enterprise,9422.96,0,8
F0120,27.0,58.0,2.0,Professional,6394.91,0,5
F0121,23.0,115.0,1.0,Enterprise,8120.95,0,7
F0122,33.0,135.0,2.0,Enterprise,16287.27,0,8
F0123,1.0,15.0,4.0,Starter,,0,3
F0124,4.0,3.0,4.0,Starter,816.34,0,4
F0125,2.0,9.0,7.0,Starter,684.2,1,4
F0126,6.0,36.0,5.0,Professional,6900.43,0,7
F0127,35.0,68.0,1.0,Enterprise,33240.48,0,8
F0128,12.0,78.0,1.0,Enterprise,31590.24,0,6
F0129,5.0,12.0,7.0,Starter,1092.62,0,5
F0130,3.0,90.0,3.0,Professional,7247.07,0,4
F0131,1.0,41.0,6.0,Professional,7485.6,1,3
F0132,1.0,7.0,4.0,Starter,877.55,0,3
F0133,1.0,,8.0,Starter,638.55,0,4
F0134,1.0,15.0,4.0,Starter,286.7,1,2
F0135,23.0,155.0,2.0,Enterprise,20935.48,0,7
F0136,8.0,35.0,7.0,Starter,1897.96,1,3
F0137,11.0,62.0,3.0,Professional,5145.9,1,8
F0138,1.0,58.0,4.0,Professional,5839.15,0,5
F0139,3.0,41.0,6.0,Professional,2233.74,1,4
F0140,15.0,108.0,1.0,Enterprise,11875.03,0,7
F0141,34.0,138.0,2.0,Enterprise,20540.78,0,8
F0142,12.0,11.0,7.0,Starter,1907.4,0,4
F0143,30.0,50.0,1.0,Professional,3845.1,1,6
F0144,1.0,,4.0,Starter,1767.22,1,0
F0145,2.0,9.0,7.0,Starter,328.55,1,2
F0146,3.0,14.0,8.0,Starter,1272.33,1,3
F0147,28.0,4.0,5.0,Professional,5403.98,1,0
F0148,20.0,68.0,1.0,Professional,7089.19,0,3
F0149,1.0,38.0,9.0,Starter,,1,3
F0150,2.0,9.0,5.0,Starter,460.87,0,5
F0151,46.0,131.0,1.0,Enterprise,13931.57,0,9
F0152,,23.0,4.0,Starter,1904.94,0,3
F0153,5.0,27.0,2.0,Starter,392.02,0,3
F0154,18.0,48.0,2.0,Professional,1740.26,1,3
F0155,21.0,65.0,0.0,Enterprise,22430.46,0,9
F0156,2.0,17.0,10.0,Starter,1104.26,0,6
F0157,9.0,58.0,5.0,Professional,6986.31,0,10
F0158,1.0,46.0,2.0,Professional,,0,6
F0159,5.0,13.0,,Starter,1123.24,0,3
F0160,1.0,58.0,6.0,Professional,,0,4
F0161,11.0,64.0,,Professional,6213.53,1,2
F0162,2.0,62.0,0.0,Professional,3219.63,0,6
F0163,1.0,49.0,1.0,Professional,7534.73,0,10
F0164,1.0,64.0,2.0,Professional,5838.38,0,8
F0165,1.0,12.0,5.0,Starter,886.78,1,6
F0166,10.0,139.0,0.0,Enterprise,26366.54,0,8
F0167,3.0,8.0,6.0,Starter,862.49,0,4
F0168,1.0,15.0,10.0,Starter,316.95,0,1
F0169,1.0,0.0,3.0,Starter,1466.06,1,5
F0170,1.0,45.0,4.0,Professional,6856.57,1,4
F0171,1.0,69.0,3.0,Professional,6237.24,0,4
F0172,11.0,4.0,4.0,Starter,535.32,1,3
F0173,2.0,46.0,2.0,Professional,7718.13,1,5
F0174,2.0,0.0,7.0,Starter,147.98,1,2
F0175,1.0,,2.0,Professional,3662.45,1,6
F0176,1.0,3.0,8.0,Starter,594.18,0,2
F0177,7.0,57.0,4.0,Professional,1812.82,1,6
F0178,9.0,63.0,0.0,Professional,4137.24,0,3
F0179,25.0,118.0,0.0,Enterprise,24824.1,0,8
F0180,2.0,11.0,5.0,Starter,1776.85,0,1
F0181,1.0,11.0,9.0,Starter,1980.41,1,2
F0182,1.0,22.0,4.0,Starter,1635.37,0,4
F0183,13.0,126.0,0.0,Enterprise,20654.37,0,6
F0184,20.0,,0.0,Enterprise,27540.02,0,7
F0185,10.0,27.0,4.0,Starter,1702.89,0,5
F0186,11.0,103.0,3.0,Professional,4524.5,1,3
F0187,12.0,82.0,0.0,Enterprise,29196.47,1,10
F0188,7.0,68.0,7.0,Professional,4637.24,0,8
F0189,8.0,132.0,2.0,Professional,4012.22,0,5
F0190,1.0,17.0,6.0,Starter,1099.57,1,2
F0191,14.0,16.0,6.0,Starter,1384.12,0,4
F0192,40.0,118.0,1.0,Enterprise,27625.82,0,7
F0193,37.0,134.0,0.0,Enterprise,17631.88,0,6
F0194,4.0,73.0,3.0,Professional,5213.58,0,5
F0195,11.0,2.0,5.0,Starter,1828.75,1,3
F0196,1.0,14.0,9.0,Starter,1954.99,0,4
F0197,7.0,,0.0,Professional,2977.11,0,4
F0198,12.0,113.0,1.0,Enterprise,13206.44,0,9
F0199,36.0,92.0,3.0,Enterprise,26270.51,0,7
F0200,9.0,63.0,2.0,Professional,4195.45,0,3
F0201,11.0,13.0,1.0,Professional,1657.45,1,6
F0202,1.0,9.0,9.0,Starter,759.04,1,1
F0203,1.0,24.0,10.0,Starter,1632.82,1,1
F0204,39.0,99.0,3.0,Enterprise,29530.53,0,8
F0205,18.0,7.0,1.0,Professional,4715.45,0,3
F0206,8.0,17.0,12.0,Starter,997.9,1,3
F0207,9.0,9.0,2.0,Starter,1201.06,1,2
F0208,6.0,50.0,2.0,Professional,2926.08,1,4
F0209,2.0,7.0,5.0,Starter,1099.48,1,1
F0210,7.0,34.0,5.0,Starter,120.99,0,4
F0211,6.0,16.0,1.0,Professional,4591.14,0,3
F0212,2.0,125.0,7.0,Professional,3684.33,0,5
F0213,19.0,45.0,0.0,Professional,5886.65,0,4
F0214,10.0,16.0,12.0,Starter,1312.87,0,3
F0215,6.0,40.0,3.0,Professional,3975.43,0,5
F0216,1.0,8.0,2.0,Starter,113.82,1,4
F0217,2.0,7.0,4.0,Starter,579.32,0,2
F0218,16.0,70.0,3.0,Professional,5616.76,0,8
F0219,23.0,19.0,1.0,Professional,1970.43,0,2
F0220,13.0,130.0,0.0,Enterprise,10906.35,0,8
F0221,4.0,0.0,5.0,Professional,5705.73,0,7
F0222,7.0,61.0,4.0,Professional,6412.49,0,6
F0223,17.0,23.0,12.0,Starter,710.94,0,2
F0224,1.0,23.0,2.0,Professional,4682.87,0,4
F0225,5.0,21.0,5.0,Starter,1896.85,0,1
F0226,1.0,15.0,6.0,Starter,1896.53,0,5
F0227,18.0,167.0,1.0,Enterprise,16302.57,0,7
F0228,5.0,33.0,3.0,Professional,6764.92,1,6
F0229,40.0,204.0,2.0,Enterprise,24036.49,0,8
F0230,2.0,0.0,2.0,Professional,7840.65,0,10
F0231,4.0,46.0,1.0,Professional,4604.49,0,0
F0232,4.0,12.0,5.0,Professional,,1,4
F0233,1.0,101.0,4.0,Professional,6492.89,0,3
F0234,4.0,48.0,7.0,Professional,,1,5
F0235,3.0,13.0,,Starter,1611.7,0,3
F0236,12.0,66.0,5.0,Professional,3196.76,0,1
F0237,5.0,14.0,9.0,Starter,332.28,0,2
F0238,6.0,9.0,,Starter,907.81,1,4
F0239,1.0,23.0,2.0,Professional,7633.6,0,4
F0240,1.0,16.0,8.0,Starter,1051.41,0,5
F0241,7.0,131.0,1.0,Enterprise,25152.0,0,6
F0242,26.0,140.0,0.0,Enterprise,24852.39,0,9
F0243,19.0,,3.0,Enterprise,11579.47,0,9
F0244,15.0,0.0,6.0,Professional,4036.93,0,7
F0245,6.0,14.0,6.0,Starter,1443.18,1,1
F0246,43.0,155.0,1.0,Enterprise,34243.73,0,8
F0247,2.0,51.0,3.0,Professional,2592.12,0,4
F0248,40.0,49.0,0.0,Enterprise,19081.93,0,7
F0249,11.0,81.0,0.0,Enterprise,10567.53,0,8
F0250,21.0,129.0,0.0,Enterprise,14544.16,0,7
F0251,4.0,17.0,6.0,Starter,815.84,1,5
F0252,10.0,71.0,3.0,Professional,5014.18,0,7
F0253,47.0,96.0,,Enterprise,14225.31,0,7
F0254,5.0,17.0,8.0,Starter,532.37,0,2
F0255,1.0,5.0,5.0,Starter,1577.88,1,3
F0256,6.0,61.0,5.0,Professional,7757.17,0,5
F0257,24.0,121.0,2.0,Enterprise,16737.55,1,9
F0258,2.0,34.0,5.0,Professional,5971.95,1,7
F0259,3.0,93.0,2.0,Professional,3177.52,0,6
F0260,1.0,0.0,4.0,Starter,1863.11,0,0
F0261,2.0,51.0,5.0,Professional,5873.87,0,2
F0262,17.0,94.0,1.0,Enterprise,29672.28,0,9
F0263,6.0,33.0,1.0,Starter,193.77,0,3
F0264,8.0,69.0,3.0,Professional,5390.29,0,9
F0265,37.0,100.0,2.0,Enterprise,22245.53,0,8
F0266,5.0,48.0,0.0,Professional,3404.48,0,10
F0267,5.0,101.0,1.0,Professional,3205.79,1,7
F0268,31.0,31.0,2.0,Professional,5270.16,1,0
F0269,5.0,10.0,2.0,Professional,6092.16,1,0
F0270,3.0,17.0,7.0,Starter,163.03,0,3
F0271,11.0,129.0,3.0,Enterprise,23319.84,0,7
F0272,18.0,139.0,1.0,Enterprise,12602.41,0,8
F0273,32.0,140.0,0.0,Enterprise,,0,7
F0274,47.0,173.0,0.0,Enterprise,24824.23,0,8
F0275,10.0,,3.0,Professional,3520.66,0,6
F0276,16.0,24.0,5.0,Professional,,1,3
F0277,15.0,71.0,3.0,Professional,3839.99,1,0
F0278,14.0,27.0,3.0,Professional,5714.19,0,0
F0279,2.0,18.0,3.0,Professional,4555.78,1,4
F0280,1.0,101.0,2.0,Professional,7762.48,0,2
F0281,31.0,71.0,2.0,Enterprise,17514.33,0,8
F0282,1.0,11.0,9.0,Starter,1506.54,0,3
F0283,6.0,53.0,1.0,Professional,3172.4,1,7
F0284,1.0,28.0,5.0,Starter,1066.63,1,3
F0285,5.0,8.0,1.0,Professional,5091.7,0,3
F0286,10.0,19.0,5.0,Starter,725.31,0,7
F0287,17.0,32.0,5.0,Professional,4566.57,0,6
F0288,9.0,70.0,1.0,Professional,3315.31,0,5
F0289,9.0,5.0,3.0,Starter,111.4,0,4
F0290,15.0,94.0,1.0,Professional,2901.71,0,6
F0291,2.0,5.0,13.0,Starter,1430.12,0,1
F0292,1.0,0.0,3.0,Starter,1564.83,1,4
F0293,12.0,96.0,0.0,Enterprise,15565.48,1,8
F0294,17.0,48.0,3.0,Professional,4152.28,0,7
F0295,9.0,25.0,10.0,Starter,170.99,1,2
F0296,2.0,23.0,4.0,Professional,3040.91,1,4
F0297,8.0,24.0,1.0,Professional,6564.93,1,9
F0298,1.0,24.0,8.0,Starter,1251.37,0,6
F0299,1.0,20.0,4.0,Professional,2837.51,0,1
F0300,34.0,13.0,8.0,Starter,589.14,1,6
F0301,1.0,13.0,5.0,Starter,1651.92,0,3
F0302,13.0,60.0,4.0,Professional,2859.05,0,4
F0303,16.0,36.0,,Professional,3672.03,0,3
F0304,19.0,31.0,6.0,Professional,5818.33,0,4
F0305,48.0,63.0,1.0,Professional,5147.23,0,4
F0306,46.0,93.0,2.0,Enterprise,20443.5,0,7
F0307,3.0,21.0,3.0,Professional,7348.32,0,3
F0308,16.0,27.0,5.0,Starter,517.45,1,1
F0309,22.0,67.0,3.0,Professional,6319.23,0,6
F0310,9.0,32.0,7.0,Starter,402.22,1,4
F0311,5.0,74.0,1.0,Professional,5502.27,0,7
F0312,1.0,2.0,6.0,Starter,1754.18,1,3
F0313,1.0,15.0,5.0,Starter,970.01,1,1
F0314,46.0,,2.0,Enterprise,27555.95,0,8
F0315,23.0,70.0,0.0,Enterprise,30150.62,0,7
F0316,3.0,43.0,4.0,Professional,2384.17,1,7
F0317,1.0,79.0,,Professional,6087.87,1,3
F0318,3.0,17.0,7.0,Starter,1847.7,1,2
F0319,1.0,1.0,5.0,Starter,1195.1,0,3
F0320,13.0,10.0,8.0,Starter,453.63,1,5
F0321,5.0,51.0,3.0,Professional,2325.13,1,6
F0322,5.0,12.0,3.0,Professional,3188.28,0,6
F0323,4.0,72.0,4.0,Professional,,0,9
F0324,1.0,12.0,7.0,Starter,1075.45,1,1
F0325,40.0,78.0,0.0,Enterprise,9882.03,0,7
F0326,1.0,18.0,1.0,Professional,2952.13,0,3
F0327,8.0,82.0,4.0,Professional,4359.42,1,0
F0328,8.0,45.0,0.0,Professional,4580.45,0,4
F0329,20.0,84.0,6.0,Professional,5175.09,0,7
F0330,2.0,30.0,5.0,Starter,1440.67,0,2
F0331,4.0,80.0,1.0,Professional,1806.99,0,5
F0332,9.0,41.0,4.0,Professional,2024.04,0,2
F0333,5.0,0.0,6.0,Starter,215.63,1,2
F0334,3.0,18.0,5.0,Starter,903.99,0,3
F0335,2.0,35.0,4.0,Starter,179.51,1,5
F0336,3.0,14.0,4.0,Starter,,0,1
F0337,31.0,60.0,2.0,Enterprise,14021.0,0,8
F0338,1.0,38.0,1.0,Professional,7604.88,0,8
F0339,6.0,50.0,2.0,Professional,4661.62,0,5
F0340,5.0,4.0,5.0,Starter,948.02,1,1
F0341,11.0,0.0,5.0,Professional,6573.5,1,8
F0342,4.0,52.0,3.0,Professional,6135.5,0,7
F0343,14.0,7.0,7.0,Starter,1253.89,0,5
F0344,1.0,99.0,3.0,Professional,7578.45,0,2
F0345,6.0,57.0,1.0,Professional,4244.69,0,9
F0346,11.0,66.0,0.0,Professional,6755.46,0,4
F0347,11.0,52.0,2.0,Professional,3970.6,0,4
F0348,5.0,15.0,3.0,Starter,1692.86,0,2
F0349,3.0,13.0,4.0,Professional,3186.59,0,7
F0350,1.0,28.0,1.0,Professional,3380.24,0,5
F0351,10.0,82.0,3.0,Professional,5906.15,0,6
F0352,15.0,126.0,2.0,Enterprise,13743.26,0,8
F0353,12.0,45.0,3.0,Professional,2989.5,1,5
F0354,3.0,19.0,11.0,Starter,680.0,1,2
F0355,5.0,20.0,5.0,Starter,1389.96,0,7
F0356,18.0,104.0,2.0,Professional,7281.02,1,3
F0357,1.0,16.0,4.0,Starter,1381.68,0,4
F0358,1.0,28.0,4.0,Professional,6880.79,0,6
F0359,44.0,116.0,0.0,Enterprise,22676.14,0,9
F0360,6.0,70.0,2.0,Professional,1948.0,1,8
F0361,11.0,,6.0,Professional,2153.03,1,5
F0362,24.0,14.0,0.0,Professional,5103.55,1,7
F0363,10.0,61.0,4.0,Professional,3630.71,1,0
F0364,30.0,32.0,4.0,Professional,2933.69,0,5
F0365,24.0,103.0,4.0,Enterprise,20588.94,0,7
F0366,17.0,76.0,0.0,Professional,5832.23,0,5
F0367,13.0,142.0,0.0,Enterprise,18394.78,1,0
F0368,22.0,99.0,0.0,Enterprise,29668.64,0,8
F0369,4.0,13.0,4.0,Starter,1503.19,0,6
F0370,6.0,9.0,7.0,Starter,1496.34,1,3
F0371,1.0,43.0,5.0,Starter,1971.86,0,1
F0372,1.0,17.0,11.0,Starter,660.94,0,6
F0373,12.0,6.0,6.0,Starter,1324.98,1,1
F0374,9.0,88.0,2.0,Professional,7060.61,0,2
F0375,1.0,28.0,2.0,Starter,1201.1,0,3
F0376,5.0,32.0,10.0,Starter,1600.05,1,4
F0377,21.0,182.0,0.0,Enterprise,19190.21,0,8
F0378,10.0,,3.0,Starter,1221.93,1,3
F0379,14.0,109.0,0.0,Enterprise,9502.99,0,10
F0380,1.0,12.0,8.0,Starter,,1,4
F0381,11.0,12.0,10.0,Starter,1620.04,1,6
F0382,9.0,44.0,4.0,Professional,7147.26,0,7
F0383,36.0,85.0,4.0,Professional,6012.91,1,3
F0384,20.0,120.0,1.0,Enterprise,13023.35,0,8
F0385,1.0,79.0,3.0,Professional,1701.68,0,10
F0386,31.0,140.0,0.0,Enterprise,31345.73,0,7
F0387,2.0,4.0,4.0,Starter,853.03,1,2
F0388,5.0,0.0,4.0,Starter,601.34,1,4
F0389,22.0,24.0,8.0,Professional,5150.87,1,5
F0390,40.0,107.0,0.0,Enterprise,19364.26,0,0
F0391,18.0,124.0,1.0,Enterprise,25594.98,0,8
F0392,6.0,,,Professional,4644.66,1,8
F0393,1.0,72.0,6.0,Professional,6032.02,0,5
F0394,28.0,41.0,2.0,Professional,7047.25,1,3
F0395,,17.0,3.0,Starter,471.56,0,1
F0396,26.0,123.0,0.0,Enterprise,16894.69,0,10
F0397,,172.0,0.0,Enterprise,19794.02,0,8
F0398,1.0,30.0,1.0,Professional,7753.38,0,6
F0399,2.0,110.0,4.0,Professional,3874.67,0,4
F0400,9.0,40.0,2.0,Professional,3977.15,0,6
F0401,1.0,1.0,9.0,Starter,1341.6,0,6
F0402,21.0,113.0,1.0,Enterprise,19318.39,0,7
F0403,4.0,136.0,4.0,Professional,7682.95,0,6
F0404,24.0,146.0,2.0,Enterprise,32150.66,1,7
F0405,8.0,21.0,5.0,Starter,1075.48,1,8
F0406,42.0,143.0,0.0,Enterprise,25408.93,0,8
F0407,19.0,35.0,2.0,Professional,1877.2,0,5
F0408,1.0,,8.0,Starter,1421.89,0,3
F0409,7.0,120.0,1.0,Enterprise,27094.42,0,7
F0410,6.0,33.0,8.0,Starter,782.48,0,3
F0411,4.0,,1.0,Starter,517.4,1,1
F0412,11.0,108.0,0.0,Enterprise,32707.12,0,0
F0413,35.0,85.0,2.0,Enterprise,19521.03,0,8
F0414,1.0,58.0,2.0,Professional,5749.09,0,6
F0415,20.0,62.0,3.0,Professional,1716.64,0,4
F0416,5.0,24.0,1.0,Professional,4191.44,0,4
F0417,20.0,19.0,4.0,Starter,1652.79,1,3
F0418,2.0,17.0,6.0,Starter,836.39,0,1
F0419,12.0,80.0,3.0,Professional,5420.55,0,6
F0420,3.0,85.0,4.0,Professional,2864.06,0,2
F0421,4.0,57.0,2.0,Professional,4207.42,0,8
F0422,2.0,29.0,3.0,Professional,7529.65,0,7
F0423,2.0,6.0,8.0,Starter,1176.26,1,2
F0424,7.0,99.0,2.0,Professional,7362.55,0,7
F0425,24.0,16.0,8.0,Starter,1813.84,1,4
F0426,10.0,98.0,4.0,Professional,7636.96,0,3
F0427,,67.0,2.0,Professional,7320.05,1,1
F0428,26.0,142.0,0.0,Enterprise,8088.59,0,8
F0429,14.0,78.0,5.0,Professional,7571.1,1,0
F0430,14.0,2.0,7.0,Starter,,1,6
F0431,1.0,18.0,6.0,Starter,175.86,0,4
F0432,7.0,24.0,6.0,Professional,1860.03,0,4
F0433,6.0,47.0,4.0,Professional,3767.96,0,9
F0434,5.0,21.0,8.0,Starter,1279.53,0,5
F0435,4.0,4.0,9.0,Starter,864.39,1,1
F0436,11.0,68.0,1.0,Professional,1666.1,0,5
F0437,5.0,0.0,4.0,Starter,1005.32,0,1
F0438,46.0,,0.0,Enterprise,19937.53,0,7
F0439,3.0,38.0,3.0,Professional,6419.52,0,5
F0440,3.0,4.0,10.0,Starter,631.26,1,4
F0441,7.0,0.0,3.0,Starter,,0,4
F0442,18.0,102.0,0.0,Enterprise,,0,9
F0443,1.0,7.0,3.0,Professional,3474.31,0,7
F0444,8.0,41.0,6.0,Professional,5394.57,0,7
F0445,37.0,152.0,0.0,Enterprise,20731.19,0,8
F0446,12.0,114.0,0.0,Enterprise,17096.15,0,9
F0447,24.0,84.0,1.0,Enterprise,18106.48,0,8
F0448,19.0,60.0,1.0,Professional,3911.0,1,5
F0449,1.0,58.0,4.0,Professional,7820.64,0,2
F0450,9.0,34.0,4.0,Starter,542.69,0,6
F0451,6.0,74.0,1.0,Professional,6817.4,0,5
F0452,5.0,62.0,4.0,Professional,6103.37,0,10
F0453,23.0,77.0,1.0,Professional,1536.21,0,5
F0454,11.0,115.0,1.0,Enterprise,34815.76,1,0
F0455,4.0,14.0,4.0,Starter,1537.23,1,5
F0456,1.0,96.0,3.0,Professional,5935.92,0,3
F0457,2.0,0.0,12.0,Starter,870.12,0,4
F0458,15.0,79.0,0.0,Professional,5108.82,0,6
F0459,2.0,13.0,4.0,Starter,,0,0
F0460,1.0,12.0,2.0,Starter,167.42,1,6
F0461,4.0,9.0,11.0,Starter,1688.44,1,2
F0462,18.0,,7.0,Professional,7327.15,0,6
F0463,15.0,53.0,2.0,Professional,2556.06,0,8
F0464,1.0,44.0,4.0,Professional,6615.86,0,4
F0465,36.0,98.0,1.0,Enterprise,28011.12,0,8
F0466,7.0,7.0,6.0,Professional,2659.44,1,10
F0467,3.0,7.0,9.0,Starter,901.47,1,4
F0468,33.0,104.0,1.0,Enterprise,19414.46,0,7
F0469,10.0,16.0,1.0,Starter,1543.93,0,5
F0470,31.0,178.0,0.0,Enterprise,30616.84,0,7
F0471,1.0,8.0,6.0,Starter,280.07,1,1
F0472,12.0,89.0,2.0,Enterprise,23200.17,0,9
F0473,1.0,7.0,,Starter,1547.32,1,1
F0474,23.0,124.0,0.0,Enterprise,29227.15,0,10
F0475,28.0,69.0,4.0,Professional,2461.96,0,5
F0476,13.0,141.0,2.0,Enterprise,22188.64,0,10
F0477,7.0,23.0,5.0,Starter,1729.36,0,1
F0478,8.0,79.0,,Professional,3570.37,0,8
F0479,39.0,111.0,1.0,Enterprise,19478.16,1,8
F0480,14.0,106.0,1.0,Professional,6728.33,0,7
F0481,7.0,46.0,1.0,Professional,2080.58,0,7
F0482,12.0,57.0,3.0,Professional,7086.71,0,5
